BSSID;SSID;room;num_measurements;mean;stddev
00:25:9c:ca:87:ee;mfold-linksys;C3_AISLE3;179;-82,68156425;3,921167822
00:25:9c:ca:87:ee;mfold-linksys;C4_AISLE4;240;-76,85833333;5,806209104
00:25:9c:ca:87:ee;mfold-linksys;C5_AISLE5;120;-62,38333333;4,683572818
00:25:9c:ca:87:ee;mfold-linksys;C6_AISLE6;173;-70,03468208;4,773833662
00:25:9c:ca:87:ee;mfold-linksys;C7_AISLE7;226;-78,10619469;4,356069241
00:25:9c:ca:87:ee;mfold-linksys;C8_AISLE8;160;-82,70625;4,38493257
00:25:9c:ca:87:ee;mfold-linksys;C9_AISLE9;161;-85,2484472;3,593450737
00:26:5a:23:a0:e4;dlink-han;C1_AISLE1;6;-91;0
00:26:5a:a9:99:46;mfold-dlink;C1_AISLE1;25;-84,76;2,107130751
00:26:5a:a9:99:46;mfold-dlink;C10_AISLE10;47;-83,68085106;1,217738156
00:26:5a:a9:99:46;mfold-dlink;C12_CONF_TOP;12;-89,5;1,566698904
00:26:5a:a9:99:46;mfold-dlink;C13_COFFEE;11;-78,18181818;0,603022689
00:26:5a:a9:99:46;mfold-dlink;C14_PLEA;45;-86,13333333;5,825492566
00:26:5a:a9:99:46;mfold-dlink;C15_MTG;76;-79,09210526;4,937415333
00:26:5a:a9:99:46;mfold-dlink;C16_FLEX_BTM;32;-87,5;2,063507818
00:26:5a:a9:99:46;mfold-dlink;C17_FLEX_TOP;6;-88;0
00:26:5a:a9:99:46;mfold-dlink;C2_AISLE2;64;-82,875;3,248931448
00:26:5a:a9:99:46;mfold-dlink;C3_AISLE3;148;-76,93243243;3,471285833
00:26:5a:a9:99:46;mfold-dlink;C4_AISLE4;235;-72,05957447;4,85832001
00:26:5a:a9:99:46;mfold-dlink;C5_AISLE5;120;-58,31666667;4,072831347
00:26:5a:a9:99:46;mfold-dlink;C6_AISLE6;168;-67,32142857;5,245267532
00:26:5a:a9:99:46;mfold-dlink;C7_AISLE7;222;-75,26126126;3,730058196
00:26:5a:a9:99:46;mfold-dlink;C8_AISLE8;88;-78,51136364;3,162257008
00:26:5a:a9:99:46;mfold-dlink;C9_AISLE9;58;-82,67241379;4,231825665
00:40:5a:ac:e0:00;;C16_FLEX_BTM;6;-78;0
00:40:5a:ac:e0:01;U+Net e003;C16_FLEX_BTM;17;-86,11764706;1,409004655
00:40:5a:ac:e0:01;U+Net e003;C17_FLEX_TOP;6;-85;0
02:23:b3:73:f0:6e;HP8E941D;C1_AISLE1;6;-89;0
04:84:8a:00:31:38;7inova_003138;C1_AISLE1;14;-82,85714286;3,009143575
04:84:8a:00:31:38;7inova_003138;C16_FLEX_BTM;26;-84,69230769;3,056393048
04:84:8a:00:31:38;7inova_003138;C17_FLEX_TOP;6;-90;0
04:a1:51:af:30:21;NETGEAR73;C10_AISLE10;9;-88;0
04:a1:51:af:30:21;NETGEAR73;C9_AISLE9;6;-87;0
08:86:3b:98:8e:9d;belkin.3e9d;C12_CONF_TOP;1;-91;
08:86:3b:98:8e:9d;belkin.3e9d;C16_FLEX_BTM;2;-91;0
08:86:3b:98:8e:9d;belkin.3e9d;C17_FLEX_TOP;6;-89;0
0c:82:68:61:95:68;linpr;C13_COFFEE;8;-89;0
0c:82:68:91:5e:c4;This is also not your WIFI.;C17_FLEX_TOP;6;-90;0
10:fe:ed:dd:5a:36;TP-LINK_rabbit_he;C10_AISLE10;9;-92;0
10:fe:ed:dd:5a:36;TP-LINK_rabbit_he;C16_FLEX_BTM;69;-86,52173913;3,155800894
10:fe:ed:dd:5a:36;TP-LINK_rabbit_he;C17_FLEX_TOP;57;-89,31578947;1,649219455
1c:aa:07:6e:31:a0;eduroam;C1_AISLE1;1;-78;
1c:aa:07:6e:31:a0;eduroam;C10_AISLE10;141;-65,11347518;3,533699394
1c:aa:07:6e:31:a0;eduroam;C16_FLEX_BTM;151;-66,82781457;2,717257415
1c:aa:07:6e:31:a0;eduroam;C17_FLEX_TOP;84;-60,46428571;3,114081615
1c:aa:07:6e:31:a0;eduroam;C6_AISLE6;1;-80;
1c:aa:07:6e:31:a0;eduroam;C7_AISLE7;50;-77,54;1,981650518
1c:aa:07:6e:31:a0;eduroam;C8_AISLE8;67;-76,11940299;3,448857466
1c:aa:07:6e:31:a0;eduroam;C9_AISLE9;157;-67,45859873;4,455607884
1c:aa:07:6e:31:a3;TUvisitor;C10_AISLE10;112;-64,24107143;4,056460836
1c:aa:07:6e:31:a3;TUvisitor;C12_CONF_TOP;1;-64;
1c:aa:07:6e:31:a3;TUvisitor;C16_FLEX_BTM;158;-65,2721519;4,414291691
1c:aa:07:6e:31:a3;TUvisitor;C17_FLEX_TOP;83;-59,4939759;4,570247082
1c:aa:07:6e:31:a3;TUvisitor;C4_AISLE4;9;-78;0
1c:aa:07:6e:31:a3;TUvisitor;C6_AISLE6;2;-80;4,242640687
1c:aa:07:6e:31:a3;TUvisitor;C7_AISLE7;58;-79,70689655;2,060562184
1c:aa:07:6e:31:a3;TUvisitor;C8_AISLE8;70;-74,3;3,209361307
1c:aa:07:6e:31:a3;TUvisitor;C9_AISLE9;174;-68,66666667;4,185487359
